Mother Prompt,Child Response,Raw Score,Extracted Score
does she like really tall towers ?,yeah .,3,3.0
you're not too tired .,no .,3,3.0
"what's the capital of England , Eleanor ?",i want to go and play .,0,0.0
it looks like there's another mommy and baby over there .,yeah .,2,2.0
what does she want you to do ?,i want you to do that .,2,2.0
did we skip one again back ?,no .,3,3.0
who's that painting a house ?,postman pat .,1,1.0
I can make it move .,i don't know how .,3,3.0
okay you don't know so you're supposed to look .,the soccer ball game .,3,3.0
it all came tumbling down !,do it again !,3,3.0
and what did the princess do in the story ?,let me go back .,2,2.0
"it doesn't open, honey .",it doesn't .,2,2.0
I've just glanced at that orange light .,i want to draw one .,2,2.0
take the lid off .,shut door .,2,2.0
it's a trailer ?,yes .,4,4.0
can you see your sunflower ?,yeah .,4,4.0
I don't think you could roast that kind on the camp fire .,i want one .,2,2.0
you remember the builder who did that work last November ?,mike .,3,3.0
would you like that ?,yeah .,3,3.0
just not in front of the door .,yes it do .,1,1.0
are you going to .,yes .,3,3.0
oh that's no good .,oh mommy .,3,3.0
would you like something to eat now ?,yeah .,3,3.0
no he wasn't .,wasn't that fast ?,2,2.0
I forgot that .,take a pilot to,2,2.0
well that's the driver of the car .,get edward and .,1,1.0
that's a little shell .,why is this ?,3,3.0
away you go and get your wee stool and put your seat on the .,me fall down .,2,2.0
see Megan doing the puzzle ?,see ?,2,2.0
let's get socks on because your feet are cold .,huh ?,1,1.0
I'll draw a chicken .,this anna .,3,3.0
it's getting dark .,it is a little bit hot .,2,2.0
the train is .,there it is .,3,3.0
here you go then .,i want to put it on .,3,3.0
because Daddy's going to come home and he's not going to be pleased .,he's going to stay with the other boy .,3,3.0
because we've got to have lunch yet .,yes,3,3.0
it is an elephant .,a giraffe .,1,1.0
did you do it ?,yeah .,3,3.0
do you not like this dress ?,what ?,2,2.0
a big hug .,do you want to read this book ?,2,2.0
I don't think brother is here .,yes .,3,3.0
it looks nice when you hold Monkey .,i've drawn at his nose .,4,4.0
where are you going ?,yeah .,0,0.0
maybe you are getting a cold then .,what's that ?,2,2.0
what's his name ?,it is called harry .,2,2.0
now he's a butterfly .,he's a butterfly .,3,3.0
I don't know about yours .,but i want to play something else .,2,2.0
it's quite warm in here .,i want to go in jwww's bed .,2,2.0
what is that ?,a baby doll .,4,4.0
just got problem that the roof's too short .,i want to see .,2,2.0
"oh , Thomas .",yeah .,3,3.0
oh look you got more toys .,where the bubbles ?,2,2.0
what shall I draw ?,draw a big circle .,4,4.0
what are those called ?,a light .,2,2.0
what do I have to do ?,you try to catch the ball .,3,3.0
what's the squirrel doing ?,he's eating his dinner .,4,4.0
"Fraser , what's Kevin doing ?",ride a bike .,3,3.0
now he's back on .,back on .,3,3.0
what are we doing ?,we're going to do this many .,2,2.0
what's going on ?,what's that ?,2,2.0
that's a guitar .,guitar .,4,4.0
"there's nothing to see , Thomas .",oh yes .,3,3.0
and that's the first time I saw him try it without me writing first .,,N/A,0.0
"I tell you what , Tom , because .",he walking .,2,2.0
can you say that ?,gwark .,1,1.0
"oh , who's this ?",a boy .,3,3.0
you got another lantern .,oh another square .,3,3.0
did you break him ?,no .,3,3.0
have you got your tissue ?,yeah .,4,4.0
can we draw on the board ?,yeah .,4,4.0
he'll play a game with some blocks .,little boy .,2,2.0
I have to Laura .,my tummy hurts .,2,2.0
and there's a fairy godmother in Cinderella .,oh .,2,2.0
do you know how to do this ?,yeah .,2,2.0
ten hours whew !,mummy i want to go to sleep .,2,2.0
Sally got a four .,oh .,3,3.0
a big beautiful butterfly !,yeah .,2,2.0
are you going to put some money in ?,yeah .,4,4.0
you don't stretch that .,a no my .,2,2.0
think about what we did during the day .,what .,2,2.0
well shall we play with the balloon then ?,mhm .,3,3.0
"yes, let's clean up our lunch though first .",yes .,4,4.0
you did get a fish ?,yeah .,3,3.0
what did Thomas go downstairs for ?,he's covered up .,2,2.0
and it's purple .,yeah .,3,3.0
why don't you put the top on ?,top .,2,2.0
they're little kangaroos .,and those are .,3,3.0
tonight we're having boiled potatoes for dinner .,get cheese now .,2,2.0
what's he doing ?,um i don't know .,2,2.0
what is that ?,a moon .,3,3.0
what do you want to do ?,i want to play with the lego .,4,4.0
I'm sure there's a pair of feet sticking out the bottom of the fire engine .,yes .,2,2.0
wash and down and a sleep ?,mhm .,3,3.0
okay well should we build a fence so we can put some of the animals in the fence ?,yeah .,3,3.0
what are those animals ?,on the moon .,1,1.0
he's trying to tell her that she has left the gate open and .,and that door !,4,4.0
"well they only put four things in the set , Thomas .",weight .,1,1.0
you'll get thirsty .,yeah .,3,3.0
"oh , you ate pretty good .",gammy .,3,3.0
who's got the right shoes ?,nana .,3,3.0
be careful not to hit yourself though !,www .,2,2.0
"what would you do , if your mother asked you ?",what is this .,1,1.0
where does it go ?,yeah .,1,1.0
does he have big teeth or little teeth ?,big teeth .,4,4.0
who's getting cold ?,getting cold .,1,1.0
I was going to say the glasses don't have fish on them .,okay .,2,2.0
is he hiding ?,yeah .,3,3.0
do you want to tell them or no ?,yeah .,3,3.0
what book are we going to read ?,shh !,1,1.0
oh it's for .,yeah .,2,2.0
this is what these .,these are mashed potato .,3,3.0
we saw it in the film .,what for ?,2,2.0
you've got lots of popup things .,yeah .,3,3.0
and you were squealing .,it .,2,2.0
press it down .,press it down .,4,4.0
what is that ?,that's water .,4,4.0
you want me to read this one now .,yes .,4,4.0
think we'll use some yellow .,yeah .,3,3.0
"why is Sue bad , Laura ?",here laura .,1,1.0
what does pretty mean ?,legs .,2,2.0
where's the crayon ?,there it is !,4,4.0
not tonight I said have cookies or a banana .,i had three .,3,3.0
"oh gosh that's a big jump , Thomas .",i jump over this one .,4,4.0
is she in my bedroom ?,yeah .,3,3.0
okay I guess that's the end of this tape .,what .,2,2.0
while they ate lunch mommy monster again told the story of the silky .,uhhuh .,2,2.0
it's like a crocodile .,what's this ?,2,2.0
where is he going ?,to work .,3,3.0
where are we going .,to daddy .,3,3.0
oh and we need to find some night time eyes .,mhm .,2,2.0
"what's she been doing today , Aran ?",playing .,2,2.0
you mean you don't think so ?,no .,2,2.0
and a pair of roller blades .,cramp drops .,1,1.0
and it frightened Pippin .,a jungle bear .,3,3.0
not the same .,what is it ?,2,2.0
does that look like the one grandpa drives ?,yes .,3,3.0
"oh he's getting a good smack there , isn't he ?",getting all the dinosaurs .,3,3.0
so you've got a ten pee tower and you've got a fifty pee tower .,five .,3,3.0
he's working with his father .,and his street .,2,2.0
I like this horse .,yeah .,2,2.0
because he has got a poorly arm .,oh .,3,3.0
oh he's the crocodile .,yeah .,3,3.0
and do you think it's very cold under ground or warm ?,don't know .,2,2.0
I'll get you some clean clothes .,oh .,3,3.0
sweep up all the blossom when that has blown down .,yes .,2,2.0
"have you had a busy day , darling ?",yeah .,2,2.0
“this truck etc for buildings” .,what's that ?,"2

The child's response is too short and",2.0
I think it would look nice with two of those in their house .,but you can go over there .,2,2.0
until one day the pod went .,jump dog .,1,1.0
one in the sun .,and it doesn't have any button .,3,3.0
I think that's enough .,yeah .,3,3.0
"I don't think a vet would have pulled onto our drive just to check his car , Thomas .",mm mm .,2,2.0
would you like more meatloaf ?,yeah .,4,4.0
it's not hot any more ?,yeah .,3,3.0
I don't think so .,it is .,2,2.0
what're you doing ?,get it wrong .,2,2.0
put whichever ones you want on .,yeah .,3,3.0
they saying byebye ?,yeah .,4,4.0
when you're in kindergarten ?,yeah .,3,3.0
"are you warm enough , Child ?",yeah .,3,3.0
do the birdie's eyes hurt ?,yeah .,2,2.0
what happened when they met me ?,yeah .,1,1.0
look at the children here .,look at my shoes .,1,1.0
he's in the play area I think .,yeah,3,3.0
you're more into your ice cream .,yeah .,3,3.0
and now it's so hard .,i am trying to get that out .,2,2.0
and then perhaps you'll have some apple later on .,yes .,3,3.0
do you not ?,oh .,2,2.0
it's alright for me to call it a puzzle .,can i just look at it for a minute ?,3,3.0
and they're swimming trunks for .,yeah .,3,3.0
"Jwww's starting school next week , Fraser .",but i want to write what it's called ?,3,3.0
mind the cups of tea pet .,cup of tea .,3,3.0
what about thank you ?,thank you .,5,5.0
and these are the teeth to go with it ?,yeah but what is this ?,3,3.0
what comes after two ?,three .,4,4.0
Mummy get it please .,get it .,2,2.0
look at those bits there .,those are not falling .,2,2.0
take this car and hand me the roof and I'll fix it for you .,okay .,4,4.0
you didn't do it .,no .,3,3.0
you may ask Ursula .,what your name ?,2,2.0
that's not a real bottle .,i know it is .,3,3.0
so let's pretend .,yeah .,3,3.0
what about Postman Pat ?,yes .,3,3.0
oh very good .,very good .,3,3.0
not want to go with Mummy again ?,yeah .,3,3.0
did you get everything ?,yeah .,3,3.0
before we get the paint out ?,yeah .,4,4.0
you not know ?,you are naughty .,2,2.0
you going to eat your egg ?,yeah .,3,3.0
not the purple one .,no .,2,2.0
you want to make the mommy one ?,yeah .,4,4.0
do you think so ?,yeah .,3,3.0
oh they are ?,yeah .,3,3.0
they had meatloaf in school ?,yeah .,3,3.0
you know plenty of Christmas songs .,ha .,1,1.0
I'm not giving it back to you so you can just keep throwing it down .,i want it now .,2,2.0
do you think it's fun ?,yeah .,3,3.0
want your juice ?,yes .,4,4.0
oh a pink one .,pink one .,3,3.0
what's a meal ?,restaurant .,2,2.0
we need to read your book .,want to read the book .,3,3.0
oh be careful .,here's a little bit of it .,2,2.0
and then you'll be back in a minute then .,where's it gone ?,2,2.0
who gives the best cuddles ?,me .,4,4.0
see you in the morning .,see you in the morning .,5,5.0
and I think they were .,what were they doing ?,3,3.0
did you not ?,yeah .,2,2.0
I think you missed it anyway .,it's behind there ?,2,2.0
I didn't have an ambulance .,yeah .,2,2.0
where's the baby monkey ?,there baby monkey .,1,1.0
"well , I need those .",you need a new one ?,3,3.0
that one's not broken .,that one isn't broken .,4,4.0
do you like bunnys ?,yeah .,3,3.0
you got to turn it .,let me see .,4,4.0
that's your pottie .,that's my pottie .,4,4.0
you have to turn it .,thank you .,2,2.0
are they sharing ?,they're sharing .,4,4.0
she got funny tail ?,got funny tail ?,2,2.0
you needn't have the cheese but you've eaten nearly all the cheese .,okay .,2,2.0
shall I go this way ?,yeah .,3,3.0
"you're very clever if you can blow that up , Helen .",which one ?,3,3.0
well I'm going to have a look at it .,"here you are , mummy .",4,4.0
do you know ?,where's my brush ?,1,1.0
what else is seafood ?,christmas tree .,0,0.0
well you've got kind of in between hair .,no .,2,2.0
shall we put dolly some different clothes on ?,yeah .,3,3.0
you're six and I'm seven .,i'm eight .,2,2.0
do you want to play with these too ?,yeah .,4,4.0
"but, , tugging tin yah, and they've got buttons .",a bell caught in her chin .,3,3.0
there you go .,here .,2,2.0
"you want me to help you , you mean ?",yeah .,4,4.0
shall we open the curtains ?,magpie .,1,1.0
have you put on weight ?,oh yeah .,2,2.0
what's the matter ?,that .,2,2.0
"Laura, don't write in my notebook .",i writing your name in your notebook .,3,3.0
have you done it ?,yeah .,3,3.0
you'll hurt him .,he will .,2,2.0
shall I ask her a question though ?,yes .,4,4.0
those were good Thanksgiving pictures .,those are goodies .,3,3.0
it's not a water gun .,it's people's .,2,2.0
that one alright .,this one !,2,2.0
it's a funny man .,oh .,2,2.0
do you want another one ?,yeah .,4,4.0
bring it here .,okay .,4,4.0
let me try and fix it please .,okay .,4,4.0
once upon a time there was a small girl called Little Red Riding Hood .,yes .,3,3.0
very careful with matches .,"okay, i got it .",4,4.0
what you going to draw ?,me draw a cat .,4,4.0
are you going to do a .,yeah .,2,2.0
I'm kind of thirsty .,there go .,2,2.0
what are you doing Missus ?,i say sue .,2,2.0
can Mommy have a big kiss ?,yes .,3,3.0
"what do you see, Joseph ?",ubuh .  ubuh .,0,0.0
this is special card .,special card .,3,3.0
because you can still put it on .,can i put it on now ?,4,4.0
yeah you wash them but what do you use ?,soap .,3,3.0
try it in that one .,this one ?,4,4.0
is that your one ?,yeah .,3,3.0
what letter is for Aislinn ?,for .,1,1.0
look this is called a puffin .,a puffin .,4,4.0
do you want a pillow for the mouse too ?,yeah .,4,4.0
at the touch of love's first kiss Snow White awoke .,momma .,3,3.0
"well we've done that one twice , haven't we ?",yeah .,3,3.0
that is a fire engine .,that is a fire engine .,4,4.0
you want me to turn it into a football .,oh yes .,4,4.0
and waves it .,i go san,2,2.0
where are you going ?,in here .,3,3.0
that was nice .,i want to go to pizza hut .,2,2.0
well he would go on that one darling .,okay .,3,3.0
you want to put it in a bowl ?,yeah .,4,4.0
I think that's just a different shirt for her .,pretty big .,3,3.0
"now look on here , Ruth .",what ?,2,2.0
well you draw on that page .,yeah .,3,3.0
they smell well nice .,yeah .,2,2.0
what else can we see in the car ?,boat .,2,2.0
and what was wrong with his bed ?,he got lost .,1,1.0
it would be lying in the floor with no air in it .,maybe wind can't see him .,3,3.0
are you happy now ?,yes .,3,3.0
but you can have some when you come home alright ?,alright .,4,4.0
in a few minutes I can .,okay .,3,3.0
"you've done those this week , haven't you ?",yeah .,3,3.0
"are you still feeling tired , poppet ?",oh .,2,2.0
can you find them ?,no .,2,2.0
can you see a lion now ?,yes .,4,4.0
you know when you can't suck anymore ?,yeah .,3,3.0
I got it first .,that .,2,2.0
yes I know .,look i'm making a snake .,3,3.0
yeah she's got a purse doesn't she ?,purse .,3,3.0
and what did you do on the sand ?,put my feet in the sand .,4,4.0
oh look at this .,and the cow .,3,3.0
I don't know .,the the muppets is black .,2,2.0
you need it very dark .,i'll just sit on here .,2,2.0
who was on your socks ?,i don't know .,2,2.0
and then she got one too .,yeah .,3,3.0
"you tell Observer you learned how to whisper , and you really like whispering , don't ya ?",i know how to talk .,2,2.0
do you think so ?,yeah .,3,3.0
there you go .,i have a go now ?,2,2.0
it is I guess that dinosaur has a horn .,he have a horn .,2,2.0
did you do this ?,yeah .,3,3.0
what do you mean what is it ?,a sword .,3,3.0
now do watch what you're doing .,huh ?,2,2.0
"is this the lego racer , Thomas ?",mhm .,3,3.0
oh I don't know .,a red one .,3,3.0
I'm not sure what it is .,do you want me take out ?,2,2.0
your nail varnish ?,yeah .,3,3.0
are you being silly ?,yeah .,3,3.0
no I his birthday's in the fall .,in the fall ?,4,4.0
come and help .,it's my dora .,3,3.0
what's that called ?,my mouth .,2,2.0
I think his name's Big Jay .,he's going to be cross .,3,3.0
get us into trouble you will .,get me into trouble .,2,2.0
where's the computer ?,right there .,4,4.0
is that for Mummy ?,yeah .,3,3.0
"so that everybody knows what they are , you can't have one person making up rules as you go along .","so you didn't , so you won't even give the other person a piece .",2,2.0
can I have a pair of navy blue ones please ?,yes .,2,2.0
go back to sleep .,back to sleep .,4,4.0
that'll be very nice said mother but today I don't need someone big with a castle today I need someone little enough to reach down inside the grocery bag and hand me the cans .,well i don't know .,2,2.0
and then he has got lots of things like the fire register and leaflets advertising music lessons that he always has on the desk at the front .,mummmummies,1,1.0
you're a what ?,i'm a girl and you's a boy .,3,3.0
would you like to play with the village ?,yes .,4,4.0
well that's because you're being silly .,i want to read this book .,3,3.0
but Laura there's no school today .,oh .,3,3.0
I don't think you need everything out .,a owl .,2,2.0
is that better ?,yeah .,4,4.0
what shall we do now Thomas ?,play now .,"3

The child's response is contextually appropriate",3.0
do you think they might be ready now ?,yeah .,3,3.0
what is it ?,yes .,1,1.0
should I make it into a sandwich ?,yeah .,4,4.0
", not mother .",not father .,2,2.0
you did a nice job .,yes .,3,3.0
do you want to go downstairs ?,yeah .,4,4.0
no she hasn't .,she will be .,3,3.0
"yeah, I think it is .",peanuts have a tail ?,1,1.0
is it icecream .,yeah .,3,3.0
do you want me to wash .,yes .,4,4.0
are you going over to see Anna ?,yeah .,4,4.0
you know your magazines ?,yeah .,3,3.0
it's underneath the sink .,where ?,3,3.0
he has slipped .,take it .,2,2.0
his tentacles are going up .,put this down .,2,2.0
no it's off .,off .,1,1.0
there's the roast chicken .,and that's an all of it .,3,3.0
there you go .,yeah .,3,3.0
you're stuck on the chair ?,yes .,3,3.0
did you break another one ?,yeah .,2,2.0
you've done it now .,oh .,3,3.0
what's she called ?,i don't know .,2,2.0
what's the matter ?,have a look .,3,3.0
you could draw it with the pink one .,that's my jacket .,3,3.0
driving me down .,take your other one .,2,2.0
are you naughty ?,yes .,2,2.0
but you didn't go back to sleep .,yeah .,3,3.0
he's cute isn't he ?,he's holding onto him .,3,3.0
what do you think ?,yeah .,1,1.0
think about it .,puppy take a bath . amp .,2,2.0
there's a computer in there .,yes .,3,3.0
what color is this ?,blue .,4,4.0
I don't want it .,you have to .,2,2.0
let's go back to bubbles .,huh ?,2,2.0
why did the hunter kill him ?,i don't know .,3,3.0
so that's a coloring one .,color green .,2,2.0
well there's part of it because those are eyes .,and those are .,3,3.0
I don't know .,is it .,2,2.0
I want to be patted to sleep .,look .,2,2.0
it's your present to Dimitra .,a big present .,3,3.0
you can't know some ?,yeah .,2,2.0
where are they ?,on the book .,2,2.0
that has got space for you to put things inside .,oh yes .,4,4.0
he's going to fall .,yeah .,2,2.0
and where else .,oh look .,2,2.0
you like this book ?,yeah .,3,3.0
it was jumping ?,yeah .,3,3.0
does he get tired of bread and jam ?,yeah .,3,3.0
n for night .,eh ?,2,2.0
do they fit in there ?,yeah .,3,3.0
what can you see on the front ?,it's a light .,3,3.0
and he's holding a baby .,holding baby ?,3,3.0
want to get tickled ?,get clip in there .,2,2.0
there we go .,is that her blouse ?,3,3.0
right here right here .,i want .,2,2.0
yeah we're going to collect them from the airport .,yeah .,3,3.0
have you lost the tiger ?,yeah .,2,2.0
it's by Shem's bed .,by john's bed .,1,1.0
and what's this ?,house .,3,3.0
what does that say ?,c .,2,2.0
on Saturday he ate through one piece of .,icecream .,4,4.0
all our trousers had to go in the wash .,all the holiday went in the wash .,0,0.0
"yeah, that's a monkey .",monkey .,3,3.0
maybe we can find one .,okay .,3,3.0
because it carries things like horses .,i don't want to do it on me .,2,2.0
Nana and Granddad .,yes .,3,3.0
it took me a long long time to stir it up .,this old man .,1,1.0
not read a short one ?,no .,2,2.0
that says Elsie .,and that says elsie .,5,5.0
baby have shower .,yeah .,3,3.0
do you like to eat eggs ?,yeah .,3,3.0
"oh , Lara .",want the blue one .,3,3.0
and what about the mud flaps ?,mud flaps water .,2,2.0
and what sort of a drink do you have just to set the record straight ?,yup .,1,1.0
Harold the Helicopter .,oh yeah .,4,4.0
and you couldn't work .,why ?,3,3.0
sorry and sad .,sorry and that's my name .,2,2.0
can Warren make a pig ?,yeah .,3,3.0
come on then .,where's the bear ?,2,2.0
no it will .,yes .,2,2.0
to help the other people ?,yeah .,3,3.0
yeah it is .,yeah .,2,2.0
"he's got a squishy on his mouth , look .",oh .,3,3.0
yeah they will .,the ones that we had .,3,3.0
she has pajamas on .,i want this off .,2,2.0
way over at the corner .,what ?,2,2.0
I don't know .,maybe a cowboy ?,3,3.0
what do you want for breakfast ?,toast .,4,4.0
you think so ?,yeah .,4,4.0
I can't think what it's called .,yeah .,1,1.0
did you have fun at Mummy's birthday yesterday ?,yeah .,2,2.0
look what I've found .,what ?,2,2.0
you did get back on .,back on please .,3,3.0
"oh, and more, thank you .",a cup .,1,1.0
"Purdie , stop it crying .",purdie doing ?,2,2.0
why didn't you holler for your jacket ?,it won't .,2,2.0
they've really risen to the top .,let me see .,3,3.0
"Eleanor , what would you like for your pack lunch for me ?",turkey for you .,1,1.0
can you manage ?,yeah .,4,4.0
you go save Wally .,okay .,4,4.0
it clip off ?,yeah .,3,3.0
she's fire people ?,yeah .,3,3.0
can we tell about calling Kaylia this morning on the phone the very first time you called somebody ?,white dragon .,0,0.0
so what would they say to each other ?,i don't know .,2,2.0
let's put these on .,there's another one .,3,3.0
because she's a nice dog .,why .,2,2.0
all of it ?,it makes bubbles .,3,3.0
"it says, what is this boy doing ?",what is that girl doing ?,1,1.0
here now let's close them up .,can you .,3,3.0
"and a boot car, hm .",i have some .,2,2.0
oh you want to give it to Anna ?,yes .,4,4.0
where's the wood cutter ?,i don't know .,2,2.0
boys can wear pink .,right .,4,4.0
in a few months .,want to put them in my box .,2,2.0
you'll have to go round the beanbag then .,yes .,3,3.0
did you go on a train trip ?,yeah .,3,3.0
don't stick your hand in and then your hand gets all wet then all the stuff inside has your germs all in it .,what's it .,2,2.0
fish and chips ?,yeah .,4,4.0
when you're two ?,yeah .,3,3.0
now you can touch it .,what is it ?,3,3.0
you think so .,i think .,3,3.0
now don't blow it this time .,no blow it .,2,2.0
there's nothing the matter .,what ?,2,2.0
"you think that dolly's a little bit sleepy , now , Child ?",yeah .,4,4.0
I didn't mean to .,what're you doing ?,2,2.0
want to get it ?,yeah .,4,4.0
do you want to look in the .,the noddy jigsaw .,4,4.0
what would you like to do now ?,i want to put this in the door right now .,3,3.0
what else is in there ?,a horsie .,3,3.0
shall I cuddle Tinky Winky ?,yeah .,4,4.0
and on the cup there's a pear some cherries a lemon some plums and some grapes .,nin nin .,0,0.0
I don't think so .,why not ?,3,3.0
pussy cat going to sleep in their as well ?,yes .,3,3.0
ah do you know what the fox is hiding amongst ?,yeah .,2,2.0
do you want to read that book to me ?,yes .,4,4.0
what are we going to have for supper ?,macaroni .,3,3.0
here's a mummie cow .,oh okay .,3,3.0
are you jumping down ?,yeah .,4,4.0
we're off to the animal fair .,fair .,4,4.0
"you're hurting me , Eleanor .",ooh there's a barbie .,0,0.0
off you get now please .,i've got a dress too .,3,3.0
it's alright you can eat it .,but we can't .,2,2.0
this little girl .,a girl .,3,3.0
can you see one more thing ?,okay .,1,1.0
what's the next piece ?,blue .,3,3.0
what is this ?,a clock .,4,4.0
I didn't bring him .,he's not .,3,3.0
are you going to keep turning it round ?,yeah .,3,3.0
give me that now .,okay .,3,3.0
now look for another big one .,not that one .,2,2.0
you get a bag .,you get the bag .,2,2.0
cut the page ?,yeah .,3,3.0
let Mummy read this and then we'll go and get it .,mine !,3,3.0
whoops a daisy .,that's for my boat .,3,3.0
oh you're bringing it over ?,yeah .,3,3.0
I'll give you a clue .,know what he says ?,2,2.0
put dolly in as well and they can both be in a boat .,they can't ride in the boat .,2,2.0
well dogs might eat baked beans but they're far more likely to eat that .,yeah .,3,3.0
what about tomorrow ?,what's in it ?,2,2.0
and who's the boss of red group ?,stingo .,4,4.0
inside your cupboard ?,yeah .,4,4.0
no he's just fuzzy .,yeah .,3,3.0
I didn't smack you .,oh no .,3,3.0
what do you have to keep it for ?,for cars .,3,3.0
it's not a good kind .,i know .,3,3.0
put a car on there .,okay .,4,4.0
you're drawing on it ?,yes .,4,4.0
builders like Bob .,no .,2,2.0
it's in the alcove .,a briefcase .,3,3.0
there's a summer one .,yes .,3,3.0
I'll show you .,no .,2,2.0
who can pick flowers ?,you .,3,3.0
mommy only understands words .,don't .,2,2.0
didn't know boys played with you as well .,did ?,3,3.0
it's not too big .,what ?,2,2.0
it was really called Grumpy Bear .,grumpy bear .,4,4.0
Adam take it off ?,yeah .,3,3.0
can you put it on her ear or do you want me to ?,in there .,3,3.0
what are ya doing ?,she's .,2,2.0
there you are .,thanks .,4,4.0
you looked like Lwww then .,oh .,2,2.0
oh my word .,knock knock .,1,1.0
give it back .,yeah .,2,2.0
I see that .,i want do it .,2,2.0
"do you know , Thomas ?",mummy .,2,2.0
you've got a hot peach slice there .,two .,3,3.0
you're hiding beneath the table ?,yeah .,3,3.0
"what can you see , Fraser ?",etfra know .,1,1.0
what does that mean ?,that means stop .,3,3.0
do you want a nappie ?,yes .,4,4.0
because when Grandma and Grandad were here we did a little Pass the Parcel .,yeah .,3,3.0
she wants the train .,yes .,3,3.0
there's the tractor .,and there's the man .,4,4.0
this is a big tomato .,big tomato .,3,3.0
why do stars come out at bright ?,night .,3,3.0
that's what goes on top ?,yes .,4,4.0
an ice lolly .,yes .,2,2.0
you don't need a period .,mommy .,3,3.0
where's your clothes gone ?,not yet .,2,2.0
does the other baby want some milk ?,yes .,3,3.0
and do you remember the balloons that you had to hit ?,yeah .,3,3.0
you're not to leap in a circle .,yeah .,2,2.0
what time is it ?,yeah .,0,0.0
shall we make a Pilchard ?,yes .,4,4.0
you do a very speedy job .,in my eyes .,3,3.0
there's a man on a horse ?,yeah .,3,3.0
that'd be nice .,let's put the must haveche on .,2,2.0
perhaps to get the hay in before it rains .,yeah .,3,3.0
you think he's bigger than you ?,yeah .,3,3.0
what did you say ?,ready steady go .,2,2.0
just hold on a sec .,i need that on .,2,2.0
"it's got magnets , hasn't it ?",yeah .,3,3.0
"hello , Larry .",hello .,4,4.0
that's a good girl .,i'm doing the rabbit one .,3,3.0
let me have a look .,a mouse .,3,3.0
that's what you do with your hair .,comb .,4,4.0
we lost this one is this good ?,yeah .,3,3.0
Tilly lives next door .,yeah .,2,2.0
it says hello .,can you talk to him ?,3,3.0
"but Laura , there's not a fly on your head .",here .,3,3.0
he combs his hair .,and what's he going to do ?,3,3.0
"I think that's supposed to be the color green , Fraser .",what ?,1,1.0
up in the air ?,yeah .,3,3.0
can you see all those teeth marks ?,yeah .,3,3.0
there you go .,thank you .,4,4.0
whose is this trail and where does it go ?,where's this barrel .,1,1.0
"how many feet have you got , darling ?",two .,4,4.0
your finger's a wag ?,yes .,3,3.0
oh he's still sleepy ?,he's sleeping .,4,4.0
when Mummy got out of bed this morning you were still fast asleep and we knocked on Nana's door and we told her that Mummy and Daddy were leaving so she came and got into bed next to you .,yeah .,2,2.0
okay there ya go .,thank you .,4,4.0
let mummy do it .,oh .,3,3.0
last year you were already starting to be a little girl .,ago .,2,2.0
"the lollipop , goes with , all of the carrots , and the corn .",the other stuff .,3,3.0
do you want to do it in a different color ?,yeah .,4,4.0
his name is Herbert .,i don't want to .,2,2.0
if you're touching the stereo Daddy will be cross .,okay .,3,3.0
I guess it could be a octopus if that's what you want it to be .,yeah .,4,4.0
to feed the horses ?,yeah .,4,4.0
is that over there ?,yes .,4,4.0
"that's good counting , Helen .",one .,2,2.0
I heard a child's voice .,hello .,3,3.0
and put this jacket on .,yes .,4,4.0
where are the babies ?,in the closet .,3,3.0
"yeah, I don't think so .",yeah .,2,2.0
who's that sitting behind you ?,i don't know .,3,3.0
does this look like dad ?,yeah .,3,3.0
throwing the lid down ?,i went .,2,2.0
left the table and went to the toilet .,yeah .,2,2.0
and what can you see ?,a big bear .,3,3.0
if you eat .,no it don't got hair to go in your mouth .,2,2.0
"we saw lots of things when we went to grampa's farm , didn't we ?",and .,1,1.0
I always thought my dreams happened in my mind .,oh .,2,2.0
"you've put them right now , haven't you ?",this one goes right there .,3,3.0
Purdie doesn't want her hair cutting .,want to give her some .,2,2.0
do you not know anything ?,yeah .,2,2.0
you can you stay here for a bit .,no you stay there .,2,2.0
what happened to her mouth ?,yeah .,1,1.0
are the people going to say bye bye ?,yeah .,3,3.0
don't touch anything .,touch nothing .,3,3.0
I'm going to put the fire on soon .,put the fire on .,2,2.0
is he going to dig ?,yeah .,4,4.0
it's got stuck on the edge of your jumper .,yeah .,2,2.0
who told you it was a stegosaurus ?,get me out .,2,2.0
or is there more ?,more .,4,4.0
you're going to wash your hands ?,yeah .,3,3.0
and then what happened ?,then we rode in the baby carriage .,3,3.0
I can't see it .,invisible writing study .,2,2.0
but see he's got those funny hooves and that funny snout .,what's those ?,2,2.0
"what yoghurt did you have , Fraser ?",i don't know .,2,2.0
do you want Mummy to read something for you ?,yeah .,4,4.0
is that a red one ?,yes .,4,4.0
you look like cookie monster to me .,yeah .,2,2.0
Mummy is going to make herself a drink .,my thomas .,2,2.0
you know what day it is today ?,yes .,2,2.0
is he sleeping ?,yes .,4,4.0
daddy's not out yet .,he's outside .,2,2.0
where's he gone ?,yes .,0,0.0
they stay together .,no .,2,2.0
don't cut the broom off .,broom off .,1,1.0
"Po , I'm sorry .",no she's not .,2,2.0
would you like to help stick some Sellotape onto this present ?,oh yes .,4,4.0
it makes a noise ?,brrm brrm .,3,3.0
where's the orange ?,here's orange .,3,3.0
it's a bit long .,i know .,3,3.0
